song_id,title,artist,dataset,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7clUVcSOtkNWa58Gw5RfD4,Speed of Sound,Coldplay,NH,0.514,0.898,11,-6.765,0,0.0577,0.00488,0.0345,0.0746,0.353,123.067,audio_features,spotify:track:7clUVcSOtkNWa58Gw5RfD4,https://api.spotify.com/v1/tracks/7clUVcSOtkNWa58Gw5RfD4,https://api.spotify.com/v1/audio-analysis/7clUVcSOtkNWa58Gw5RfD4,287907,4
7c1iI6dwdCpHGYT8DGEfab,Uninvited,Alanis Morissette,NH,0.38,0.538,2,-5.493,1,0.0313,0.0223,0.00487,0.094,0.193,127.416,audio_features,spotify:track:7c1iI6dwdCpHGYT8DGEfab,https://api.spotify.com/v1/tracks/7c1iI6dwdCpHGYT8DGEfab,https://api.spotify.com/v1/audio-analysis/7c1iI6dwdCpHGYT8DGEfab,276200,4
711BHJ4nErw7nPt3O5cP0z,Music,John Miles,NH,0.276,0.628,4,-12.491,0,0.0789,0.707,0.0724,0.845,0.136,91.142,audio_features,spotify:track:711BHJ4nErw7nPt3O5cP0z,https://api.spotify.com/v1/tracks/711BHJ4nErw7nPt3O5cP0z,https://api.spotify.com/v1/audio-analysis/711BHJ4nErw7nPt3O5cP0z,366493,4
7Lf7oSEVdzZqTA0kEDSlS5,Cry Me a River,Justin Timberlake,NH,0.624,0.654,8,-6.582,0,0.183,0.577,0.0,0.104,0.564,73.898,audio_features,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,https://api.spotify.com/v1/tracks/7Lf7oSEVdzZqTA0kEDSlS5,https://api.spotify.com/v1/audio-analysis/7Lf7oSEVdzZqTA0kEDSlS5,288333,4
7LVHVU3tWfcxj5aiPFEW4Q,Fix You,Coldplay,NH,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,audio_features,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/audio-analysis/7LVHVU3tWfcxj5aiPFEW4Q,295533,4
7IxVWmdabNVhfLBV3JD0nJ,The Cave,Mumford & Sons,NH,0.595,0.506,4,-9.682,1,0.0388,0.0464,0.000138,0.107,0.346,141.981,audio_features,spotify:track:7IxVWmdabNVhfLBV3JD0nJ,https://api.spotify.com/v1/tracks/7IxVWmdabNVhfLBV3JD0nJ,https://api.spotify.com/v1/audio-analysis/7IxVWmdabNVhfLBV3JD0nJ,217987,4
7HPkvsnyQqQ6PmpLk7D7IR,Als De Morgen Is Gekomen,Jan Smit,NH,0.633,0.894,5,-5.573,1,0.0291,0.0467,0.0,0.088,0.813,96.47,audio_features,spotify:track:7HPkvsnyQqQ6PmpLk7D7IR,https://api.spotify.com/v1/tracks/7HPkvsnyQqQ6PmpLk7D7IR,https://api.spotify.com/v1/audio-analysis/7HPkvsnyQqQ6PmpLk7D7IR,176067,4
6PwjJ58I4t7Mae9xfZ9l9v,Somebody Told Me,The Killers,NH,0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,audio_features,spotify:track:6PwjJ58I4t7Mae9xfZ9l9v,https://api.spotify.com/v1/tracks/6PwjJ58I4t7Mae9xfZ9l9v,https://api.spotify.com/v1/audio-analysis/6PwjJ58I4t7Mae9xfZ9l9v,197200,4
7GUINjT9Hi5zxqL4MgVtwY,Dichterbij Dan Ooit,BLØF,NH,0.654,0.737,4,-6.665,1,0.0334,0.177,3.45e-06,0.234,0.515,112.01,audio_features,spotify:track:7GUINjT9Hi5zxqL4MgVtwY,https://api.spotify.com/v1/tracks/7GUINjT9Hi5zxqL4MgVtwY,https://api.spotify.com/v1/audio-analysis/7GUINjT9Hi5zxqL4MgVtwY,261133,4
2Fif2DQrGKhdGs2OqmCo4w,Miracle,Ilse DeLange,NH,0.511,0.584,11,-7.99,1,0.0353,0.296,0.0,0.962,0.226,129.935,audio_features,spotify:track:2Fif2DQrGKhdGs2OqmCo4w,https://api.spotify.com/v1/tracks/2Fif2DQrGKhdGs2OqmCo4w,https://api.spotify.com/v1/audio-analysis/2Fif2DQrGKhdGs2OqmCo4w,277453,4
2ibNhXeLiX8fm7KQtQUIgl,Smokers Outside the Hospital Doors,Editors,NH,0.528,0.676,7,-3.792,1,0.037,4.69e-05,0.0652,0.116,0.528,122.988,audio_features,spotify:track:2ibNhXeLiX8fm7KQtQUIgl,https://api.spotify.com/v1/tracks/2ibNhXeLiX8fm7KQtQUIgl,https://api.spotify.com/v1/audio-analysis/2ibNhXeLiX8fm7KQtQUIgl,297640,4
6XK173kEu52iupeIqOnp41,Cleanin' Out My Closet,Eminem,NH,0.908,0.758,9,-4.753,0,0.174,0.0692,0.0,0.0786,0.871,148.015,audio_features,spotify:track:6XK173kEu52iupeIqOnp41,https://api.spotify.com/v1/tracks/6XK173kEu52iupeIqOnp41,https://api.spotify.com/v1/audio-analysis/6XK173kEu52iupeIqOnp41,297840,4
7AKqM1fV3UuVDvmfPlGqiU,Der Weg,Herbert Grönemeyer,NH,0.344,0.244,5,-10.854,1,0.038,0.921,7.71e-05,0.119,0.191,142.36,audio_features,spotify:track:7AKqM1fV3UuVDvmfPlGqiU,https://api.spotify.com/v1/tracks/7AKqM1fV3UuVDvmfPlGqiU,https://api.spotify.com/v1/audio-analysis/7AKqM1fV3UuVDvmfPlGqiU,259347,1
76D5nfZbYzZYfUZKGy73jy,7 Seconds (feat. Neneh Cherry),Youssou N'Dour,NH,0.68,0.702,1,-9.621,0,0.0267,0.0838,1.79e-06,0.326,0.509,154.198,audio_features,spotify:track:76D5nfZbYzZYfUZKGy73jy,https://api.spotify.com/v1/tracks/76D5nfZbYzZYfUZKGy73jy,https://api.spotify.com/v1/audio-analysis/76D5nfZbYzZYfUZKGy73jy,305773,4
75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,NH,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,audio_features,spotify:track:75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/audio-analysis/75JFxkI2RXiU7L9VXzMkle,309600,4
7257drAN3eTtaaUUPw95B3,Big Log - 2006 Remaster,Robert Plant,NH,0.554,0.639,9,-7.163,0,0.0278,0.359,0.00274,0.205,0.644,180.638,audio_features,spotify:track:7257drAN3eTtaaUUPw95B3,https://api.spotify.com/v1/tracks/7257drAN3eTtaaUUPw95B3,https://api.spotify.com/v1/audio-analysis/7257drAN3eTtaaUUPw95B3,304800,4
56pHllZT7QOacB0bP56ofx,Chasing Pavements,Adele,NH,0.616,0.47,5,-6.092,0,0.0253,0.291,0.0,0.111,0.325,80.03,audio_features,spotify:track:56pHllZT7QOacB0bP56ofx,https://api.spotify.com/v1/tracks/56pHllZT7QOacB0bP56ofx,https://api.spotify.com/v1/audio-analysis/56pHllZT7QOacB0bP56ofx,210507,4
7MDfN1ldfTMtuXXdVz2Pzc,Tears Dry On Their Own,Amy Winehouse,NH,0.634,0.543,1,-13.391,0,0.181,0.525,0.0,0.232,0.467,121.557,audio_features,spotify:track:7MDfN1ldfTMtuXXdVz2Pzc,https://api.spotify.com/v1/tracks/7MDfN1ldfTMtuXXdVz2Pzc,https://api.spotify.com/v1/audio-analysis/7MDfN1ldfTMtuXXdVz2Pzc,186440,4
